,threshold,ASR,delta_ASR,CACC,delta_CACC
0,0,100,100.0,100,92.66666666666667
1,1,100,88.0,100,47.333333333333336
2,2,100,90.66666666666667,100,30.0
3,3,100,91.33333333333333,100,14.0
4,4,100,89.33333333333333,100,10.666666666666671
5,5,100,90.66666666666667,100,6.0
6,6,100,90.66666666666667,100,5.333333333333329
7,7,100,85.33333333333333,100,2.0
8,8,100,84.0,100,1.3333333333333286
9,9,100,82.66666666666666,100,0.6666666666666714
10,10,100,78.66666666666666,100,0.6666666666666714
11,11,100,74.66666666666666,100,1.3333333333333286
12,12,100,71.33333333333333,100,1.3333333333333286
13,13,100,67.33333333333334,100,1.3333333333333286
14,14,100,62.666666666666664,100,0.6666666666666714
15,15,100,58.666666666666664,100,0.6666666666666714
16,16,100,50.666666666666664,100,0.6666666666666714
17,17,100,45.333333333333336,100,0.0
18,18,100,46.0,100,0.0
19,19,100,42.00000000000001,100,0.0
20,20,100,37.33333333333333,100,0.0
21,21,100,34.66666666666667,100,0.0
22,22,100,32.0,100,0.0
23,23,100,31.33333333333333,100,0.0
24,24,100,26.66666666666667,100,0.0
25,25,100,24.66666666666667,100,0.0
26,26,100,22.0,100,0.0
27,27,100,20.0,100,0.0
28,28,100,20.0,100,0.0
29,29,100,18.0,100,0.0
30,30,100,16.0,100,0.0
31,31,100,15.333333333333329,100,0.0
32,32,100,13.333333333333329,100,0.0
33,33,100,12.0,100,0.0
34,34,100,12.0,100,0.0
35,35,100,11.333333333333329,100,0.0
36,36,100,10.666666666666671,100,0.0
37,37,100,10.0,100,0.0
38,38,100,10.0,100,0.0
39,39,100,10.0,100,0.0
40,40,100,9.333333333333343,100,0.0
41,41,100,9.333333333333343,100,0.0
42,42,100,8.666666666666671,100,0.0
43,43,100,8.666666666666671,100,0.0
44,44,100,8.666666666666671,100,0.0
45,45,100,8.666666666666671,100,0.0
46,46,100,8.666666666666671,100,0.0
47,47,100,8.666666666666671,100,0.0
48,48,100,8.666666666666671,100,0.0
49,49,100,8.666666666666671,100,0.0
50,50,100,8.666666666666671,100,0.0
51,51,100,8.666666666666671,100,0.0
52,52,100,8.666666666666671,100,0.0
53,53,100,8.666666666666671,100,0.0
54,54,100,8.666666666666671,100,0.0
55,55,100,8.666666666666671,100,0.0
56,56,100,8.666666666666671,100,0.0
57,57,100,8.666666666666671,100,0.0
58,58,100,8.666666666666671,100,0.0
59,59,100,8.666666666666671,100,0.0
60,60,100,8.666666666666671,100,0.0
61,61,100,8.666666666666671,100,0.0
62,62,100,8.666666666666671,100,0.0
63,63,100,8.666666666666671,100,0.0
64,64,100,8.666666666666671,100,0.0
65,65,100,8.666666666666671,100,0.0
66,66,100,8.666666666666671,100,0.0
67,67,100,8.666666666666671,100,0.0
68,68,100,8.666666666666671,100,0.0
69,69,100,8.666666666666671,100,0.0
70,70,100,8.666666666666671,100,0.0
71,71,100,8.666666666666671,100,0.0
72,72,100,8.666666666666671,100,0.0
73,73,100,8.666666666666671,100,0.0
74,74,100,8.666666666666671,100,0.0
75,75,100,8.666666666666671,100,0.0
76,76,100,8.666666666666671,100,0.0
77,77,100,8.666666666666671,100,0.0
78,78,100,8.666666666666671,100,0.0
79,79,100,8.666666666666671,100,0.0
80,80,100,8.666666666666671,100,0.0
81,81,100,8.666666666666671,100,0.0
82,82,100,8.666666666666671,100,0.0
83,83,100,8.666666666666671,100,0.0
84,84,100,8.666666666666671,100,0.0
85,85,100,8.666666666666671,100,0.0
86,86,100,8.666666666666671,100,0.0
87,87,100,8.666666666666671,100,0.0
88,88,100,8.666666666666671,100,0.0
89,89,100,8.666666666666671,100,0.0
90,90,100,8.666666666666671,100,0.0
91,91,100,8.666666666666671,100,0.0
92,92,100,8.666666666666671,100,0.0
93,93,100,8.666666666666671,100,0.0
94,94,100,8.666666666666671,100,0.0
95,95,100,8.666666666666671,100,0.0
96,96,100,8.666666666666671,100,0.0
97,97,100,8.666666666666671,100,0.0
98,98,100,8.666666666666671,100,0.0
99,99,100,8.666666666666671,100,0.0
